# {"t_start": 1587134256.7378602, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,758,18.244002
-20.0,992,40.814002
-21.0,848,59.300003
-20.0,929,79.608003
-19.0,1015,102.201002
-21.0,762,119.121001
-21.0,758,135.983001
-21.0,764,153.068002
-21.0,762,169.878006
-21.0,759,186.739002
-21.0,852,205.673004
-21.0,762,222.416004
-21.0,764,239.477003
-21.0,759,256.471001
-21.0,759,273.633002
-21.0,758,290.433002
-21.0,762,307.304002
-21.0,819,325.635001
-21.0,758,342.446003
-21.0,763,358.682001
-21.0,762,374.917002
-21.0,759,391.139002
-21.0,764,407.228
-21.0,762,423.676001
-21.0,761,440.164001
-21.0,757,456.338005
-20.0,865,474.270001
-18.0,1062,496.695001
-21.0,887,515.198002
-21.0,790,531.781001
-21.0,870,550.066002
-21.0,836,567.974001
-21.0,911,586.873003
-21.0,814,603.581003
-19.0,1032,625.260001
-21.0,929,644.619005
-20.0,939,663.922003
-21.0,1096,686.399001
-19.0,1053,707.749002
-21.0,1117,730.456002
-17.0,1474,760.388002
-17.0,1572,791.965002
-15.0,1908,830.831002
-16.0,1886,869.986001
-7.0,2278,914.861001
-20.0,1312,940.774003
-13.0,2013,980.528002
-9.0,2187,1023.194002
-3.0,2960,1081.405002
-4.0,2699,1133.806001
-1.0,2901,1190.222005
3.0,3021,1248.812002
6.0,2912,1305.457001
1.0,3583,1374.588002
9.0,2580,1425.876001
8.0,2867,1481.334002
4.0,3057,1540.536001
11.0,2564,1591.009002
17.0,1966,1629.494001
19.0,1764,1664.672002
20.0,1756,1699.477002
20.0,1781,1734.782001
20.0,1667,1767.808003
20.0,1664,1800.943002
20.0,1745,1835.811002
20.0,1659,1868.398001
20.0,1662,1901.951002
21.0,1767,1936.907001
20.0,1707,1970.922004
20.0,1701,2004.839001
20.0,1730,2039.235002
20.0,1725,2073.589001
19.0,1778,2108.763003
19.0,1779,2144.186002
20.0,1667,2177.171001
19.0,1831,2213.683002
20.0,1680,2247.247001
20.0,1730,2281.755002
20.0,1700,2315.370001
20.0,1716,2349.610002
21.0,1693,2383.089002
21.0,1693,2416.388002
19.0,1885,2453.673003
20.0,1741,2488.731002
20.0,1724,2522.937002
20.0,1763,2558.165002
20.0,1721,2592.295002
21.0,1694,2626.043001
19.0,1768,2661.038002
2.0,2437,2709.103002
19.0,1843,2745.495002
18.0,1827,2781.751001
20.0,1708,2815.771002
20.0,1724,2850.319001
21.0,1694,2883.968001
18.0,1905,2921.793002
20.0,1806,2957.852002
21.0,1788,2993.413002
20.0,1747,3028.161003
20.0,1731,3062.586002
21.0,1756,3097.680002
21.0,1719,3131.774002
20.0,1824,3168.334002
16.0,2085,3210.141001
20.0,1730,3244.565003
20.0,1664,3277.387002
21.0,1687,3310.476002
19.0,1725,3345.037001
20.0,1664,3377.894001
20.0,1748,3412.893004
20.0,1727,3447.215001
20.0,1701,3480.795002
20.0,1682,3514.484002
20.0,1685,3547.898002
19.0,1773,3583.519002
21.0,1655,3616.356001
20.0,1739,3650.955003
21.0,1651,3684.327005
20.0,1765,3719.404002
21.0,1652,3752.231002
21.0,1649,3785.211002
21.0,1648,3818.141002
21.0,1650,3850.804002
20.0,1701,3884.823001
20.0,1721,3919.101004
21.0,1653,3951.799001
20.0,1787,3987.227002
21.0,1653,4019.972001
21.0,1648,4052.872001
17.0,1952,4091.520003
21.0,1649,4124.263001
21.0,1643,4156.952003
21.0,1720,4191.352003
21.0,1652,4224.255001
20.0,1746,4258.666001
19.0,1840,4295.513003
21.0,1654,4328.792001
21.0,1648,4361.923002
21.0,1650,4395.123002
21.0,1654,4428.075001
21.0,1652,4461.162002
21.0,1651,4494.101002
20.0,1775,4529.306002
21.0,1651,4562.297002
21.0,1654,4595.090001
18.0,1829,4631.487001
21.0,1651,4664.573002
21.0,1649,4696.979001
21.0,1650,4729.966007
20.0,1701,4763.966002
21.0,1650,4796.628001
21.0,1652,4829.631001
21.0,1653,4862.708004
20.0,1725,4896.780003
19.0,1867,4934.002001
20.0,1762,4969.057002
21.0,1652,5002.102002
21.0,1691,5035.746002
20.0,1877,5073.372001
20.0,1772,5108.170002
21.0,1648,5140.973002
20.0,1739,5175.398001
21.0,1651,5208.260006
21.0,1655,5241.416003
21.0,1648,5274.012002
21.0,1650,5307.246001
21.0,1649,5340.261002
20.0,1689,5373.951005
21.0,1653,5406.841002
21.0,1655,5440.260002
21.0,1646,5473.002002
21.0,1648,5505.856001
20.0,1725,5540.573002
21.0,1642,5573.121002
21.0,1643,5605.717001
20.0,1725,5640.323001
20.0,1748,5674.987001
19.0,1736,5709.618001
21.0,1645,5742.374001
20.0,1741,5776.763001
21.0,1649,5809.778001
21.0,1651,5842.699003
19.0,1783,5878.394002
21.0,1650,5911.423002
21.0,1652,5944.303001
21.0,1651,5977.202002
20.0,1780,6012.836002
20.0,1718,6047.093001
21.0,1646,6080.143001
21.0,1651,6112.988002
21.0,1651,6145.992002
21.0,1649,6179.058004
21.0,1653,6211.947002
21.0,1654,6244.601002
