# {"t_start": 1587222566.4268975, "env_id": "DemonAttackNoFrameskip-v4"} 
r,l,t
130.0,760,58.683409
60.0,563,165.042011
40.0,217,209.991011
120.0,569,318.363009
40.0,445,400.612011
130.0,659,524.132011
250.0,1048,728.409011
235.0,857,901.883811
60.0,411,987.468461
100.0,815,1152.222048
100.0,467,1235.156045
250.0,1042,1462.912047
250.0,1269,1690.601046
280.0,1444,1947.487048
130.0,573,2065.220048
325.0,1461,2329.943047
100.0,453,2403.836047
160.0,948,2577.362046
100.0,494,2668.423047
130.0,595,2768.817048
100.0,1319,3030.833047
205.0,1072,3223.285048
175.0,1001,3404.302047
440.0,1226,3622.346047
60.0,359,3685.952044
295.0,1177,4617.123047
560.0,1551,4898.850047
1120.0,1733,5207.535047
580.0,1923,5553.260047
600.0,1534,5829.640047
1060.0,1849,6163.849049
600.0,1830,6501.355047
175.0,1111,6699.804048
660.0,1716,7007.619049
265.0,1039,7197.050047
295.0,1259,7423.021047
1920.0,3102,7974.538047
1120.0,2071,8346.420048
920.0,1703,8653.190048
1200.0,2137,9041.951046
1200.0,1936,9385.287047
660.0,1501,9656.360047
580.0,1650,9946.010047
720.0,2075,10316.909047
1000.0,2211,10714.233047
1480.0,1906,11056.788049
400.0,1969,11409.164048
2370.0,2802,11914.869047
940.0,1952,12258.950047
580.0,1781,12584.147047
3605.0,3515,13227.578364
1180.0,2246,13630.340364
1480.0,2584,14101.516363
1600.0,2170,14489.585365
1920.0,2696,14968.978364
295.0,1302,15204.249364
1420.0,2070,15574.725363
6170.0,4297,16341.736365
3505.0,3453,16964.300365
4700.0,4528,17789.596363
5380.0,4722,18638.051362
800.0,1755,18953.521364
760.0,1756,19270.159364
4450.0,3855,19956.213364
4590.0,3477,20579.188364
2255.0,4432,21381.635365
1460.0,2387,21806.716364
325.0,1247,22032.228365
1960.0,2587,22492.991364
1760.0,2209,22889.657365
3410.0,3588,23531.105364
1820.0,2930,24062.708362
1820.0,2514,24514.229367
3610.0,3494,25137.619365
8120.0,5972,26212.673365
1860.0,2231,26609.879364
3815.0,3651,27274.164365
2160.0,2109,27671.751367
6720.0,6418,28839.319364
325.0,1366,29083.038365
1280.0,1798,29399.795365
1340.0,2413,29838.515365
4900.0,4543,30677.994364
1220.0,1833,31011.296363
1580.0,2326,31426.563364
5200.0,3988,32140.365374
2105.0,2441,32582.634374
235.0,862,32736.450363
2085.0,2754,33230.712365
4310.0,4223,33998.659364
480.0,1431,34260.257365
1340.0,2029,34622.189365
3670.0,2934,35146.602365
760.0,1728,35465.708363
1340.0,1856,35832.229366
620.0,1400,36085.260365
2075.0,2316,36511.850364
355.0,1003,36693.024365
6670.0,5034,37617.253365
1740.0,2424,38055.178365
1480.0,2141,38440.496365
4155.0,2963,38994.013364
960.0,1451,39257.170365
1620.0,2215,39667.522365
740.0,1979,40050.016365
1860.0,2746,40578.875365
3140.0,3454,41222.729365
4550.0,3257,41865.921365
1120.0,2210,42306.885365
5350.0,4257,43149.560365
385.0,1713,43455.970364
2670.0,2710,43949.255364
5085.0,4213,44707.372364
3070.0,3166,45301.664366
1300.0,2152,45694.151363
5220.0,4283,46481.316362
3575.0,3477,47146.946363
1700.0,2682,47625.425365
3630.0,3839,48320.954365
960.0,2031,48710.870365
2310.0,3000,49330.377364
2435.0,4821,50298.051364
3565.0,2925,50908.890363
4290.0,3707,51577.024365
6970.0,4567,52533.319365
1240.0,1832,52867.012365
2355.0,3601,53691.924366
660.0,1816,54071.747364
1700.0,2296,54552.200364
4450.0,3479,55230.623364
1080.0,1794,55630.165365
7000.0,4633,56678.992364
5100.0,4251,57535.603366
1840.0,2341,58153.385365
5420.0,4513,59233.839365
4100.0,3622,60010.631365
3675.0,3100,60686.356365
1980.0,2185,61131.866365
295.0,1704,61519.858364
3030.0,3177,62238.340366
1520.0,2398,62813.947367
1120.0,2018,63295.311364
370.0,919,63502.409364
3620.0,3615,64218.080365
1840.0,2324,64642.817365
2285.0,2692,65138.485364
4460.0,4023,65911.336365
820.0,1751,66226.078364
2350.0,2894,66751.364364
2345.0,2584,67235.133365
480.0,1486,67505.201367
5820.0,3902,68228.305367
1800.0,2321,68647.469364
6550.0,4335,69465.378366
7360.0,4589,70367.362364
7865.0,4923,71394.550365
4710.0,3837,72189.282363
7195.0,5543,73212.533364
7950.0,5982,74346.406364
1740.0,2163,74793.539362
